date,casos
27/02/2021,122
01/03/2021,221
02/03/2021,232
03/03/2021,141
04/03/2021,26
05/03/2021,420
06/03/2021,131
08/03/2021,268
09/03/2021,254
10/03/2021,199
11/03/2021,258
12/03/2021,315
13/03/2021,290
15/03/2021,429
16/03/2021,295
17/03/2021,91
19/03/2021,625
20/03/2021,266
22/03/2021,451
23/03/2021,376
24/03/2021,310
25/03/2021,368
26/03/2021,309
27/03/2021,110
29/03/2021,11
30/03/2021,942
31/03/2021,380
01/04/2021,246
03/04/2021,359
05/04/2021,18
06/04/2021,704
07/04/2021,310
08/04/2021,305
09/04/2021,250
10/04/2021,241
12/04/2021,328
13/04/2021,303
14/04/2021,369
15/04/2021,296
16/04/2021,291
17/04/2021,251
19/04/2021,431
20/04/2021,289
22/04/2021,578
23/04/2021,324
24/04/2021,32
26/04/2021,781
27/04/2021,358
28/04/2021,320
29/04/2021,314
30/04/2021,300
03/05/2021,656
04/05/2021,806
05/05/2021,0
06/05/2021,183
07/05/2021,299
08/05/2021,282
10/05/2021,482
11/05/2021,337
12/05/2021,336
13/05/2021,406
14/05/2021,367
15/05/2021,284
17/05/2021,516
18/05/2021,348
19/05/2021,340
20/05/2021,508
21/05/2021,423
22/05/2021,371
24/05/2021,645
25/05/2021,447
26/05/2021,372
27/05/2021,76
28/05/2021,21
29/05/2021,1.052
31/05/2021,757
01/06/2021,481
02/06/2021,315
04/06/2021,871
05/06/2021,207
07/06/2021,793
08/06/2021,408
09/06/2021,538
10/06/2021,414
11/06/2021,349
12/06/2021,314
14/06/2021,466
15/06/2021,515
16/06/2021,379
17/06/2021,418
18/06/2021,253
19/06/2021,282
21/06/2021,570
22/06/2021,297
23/06/2021,267
24/06/2021,272
25/06/2021,284
26/06/2021,233
28/06/2021,362
29/06/2021,121
30/06/2021,183
01/07/2021,436
02/07/2021,231
03/07/2021,180
05/07/2021,293
06/07/2021,232
07/07/2021,197
08/07/2021,180
10/07/2021,276
12/07/2021,248
13/07/2021,137
14/07/2021,272
15/07/2021,145
16/07/2021,168
17/06/2021,146
19/07/2021,267
20/07/2021,144
21/07/2021,125
22/07/2021,388
23/07/2021,143
24/07/2021,93
